"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score MS Amanda 2.0: MS Amanda 2.0"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): MS Amanda 2.0"	"# Peptides (by Search Engine): Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Gene ID"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance Ratio: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Adj. P-Value: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Variability [%]: (Aortic_Aneurism) / (Healthy)"	"Abundances (Grouped): Aortic_Aneurism"	"Abundances (Grouped): Healthy"	"Abundances (Grouped) CV [%]: Aortic_Aneurism"	"Abundances (Grouped) CV [%]: Healthy"	"Found in Sample: [S1] F1: Sample, 10364, Aortic_Aneurism, 1"	"Found in Sample: [S2] F2: Sample, 10364, Aortic_Aneurism, 2"	"Found in Sample: [S3] F3: Sample, 10367, Aortic_Aneurism, 1"	"Found in Sample: [S4] F4: Sample, 10367, Aortic_Aneurism, 2"	"Found in Sample: [S5] F5: Sample, VD2100020, Aortic_Aneurism, 1"	"Found in Sample: [S6] F6: Sample, VD2100020, Aortic_Aneurism, 2"	"Found in Sample: [S7] F7: Sample, VD2100023, Aortic_Aneurism, 1"	"Found in Sample: [S8] F8: Sample, VD2100023, Aortic_Aneurism, 2"	"Found in Sample: [S9] F9: Sample, VD2100042, Aortic_Aneurism, 1"	"Found in Sample: [S10] F10: Sample, VD2100042, Aortic_Aneurism, 2"	"Found in Sample: [S11] F11: Sample, VD2100089, Aortic_Aneurism, 1"	"Found in Sample: [S12] F12: Sample, VD2100089, Aortic_Aneurism, 2"	"Found in Sample: [S13] F13: Sample, VD2100127, Aortic_Aneurism, 1"	"Found in Sample: [S14] F14: Sample, VD2100127, Aortic_Aneurism, 2"	"Found in Sample: [S15] F15: Sample, VD2100143, Aortic_Aneurism, 1"	"Found in Sample: [S16] F16: Sample, VD2100143, Aortic_Aneurism, 2"	"Found in Sample: [S17] F17: Sample, VD2200046, Aortic_Aneurism, 1"	"Found in Sample: [S18] F18: Sample, VD2200046, Aortic_Aneurism, 2"	"Found in Sample: [S21] F21: Sample, VD2300002, Aortic_Aneurism, 1"	"Found in Sample: [S22] F22: Sample, VD2300002, Aortic_Aneurism, 2"	"Found in Sample: [S23] F23: Sample, VD2300004, Aortic_Aneurism, 1"	"Found in Sample: [S24] F24: Sample, VD2300004, Aortic_Aneurism, 2"	"Found in Sample: [S25] F25: Sample, VD2300023, Aortic_Aneurism, 1"	"Found in Sample: [S26] F26: Sample, VD2300023, Aortic_Aneurism, 2"	"Found in Sample: [S27] F27: Sample, VD2300050, Aortic_Aneurism, 1"	"Found in Sample: [S28] F28: Sample, VD2300050, Aortic_Aneurism, 2"	"Found in Sample: [S29] F29: Sample, VD2300066, Aortic_Aneurism, 1"	"Found in Sample: [S30] F30: Sample, VD2300066, Aortic_Aneurism, 2"	"Found in Sample: [S31] F31: Sample, VD2300083, Aortic_Aneurism, 1"	"Found in Sample: [S32] F32: Sample, VD2300083, Aortic_Aneurism, 2"	"Found in Sample: [S33] F33: Sample, VD2300087, Aortic_Aneurism, 1"	"Found in Sample: [S34] F34: Sample, VD2300087, Aortic_Aneurism, 2"	"Found in Sample: [S35] F35: Sample, VD2300117, Aortic_Aneurism, 1"	"Found in Sample: [S36] F36: Sample, VD2300117, Aortic_Aneurism, 2"	"Found in Sample: [S37] F37: Sample, VD2400050, Aortic_Aneurism, 1"	"Found in Sample: [S38] F38: Sample, VD2400050, Aortic_Aneurism, 2"	"Found in Sample: [S39] F39: Sample, VD2400066, Aortic_Aneurism, 1"	"Found in Sample: [S40] F40: Sample, VD2400066, Aortic_Aneurism, 2"	"Found in Sample: [S41] F41: Sample, FA1, Aortic_Aneurism, 1"	"Found in Sample: [S42] F42: Sample, FA1, Aortic_Aneurism, 2"	"Found in Sample: [S43] F43: Sample, FA3, Aortic_Aneurism, 1"	"Found in Sample: [S44] F44: Sample, FA3, Aortic_Aneurism, 2"	"Found in Sample: [S45] F45: Sample, FA5, Aortic_Aneurism, 1"	"Found in Sample: [S46] F46: Sample, FA5, Aortic_Aneurism, 2"	"Found in Sample: [S48] F48: Sample, FA6, Aortic_Aneurism, 2"	"Found in Sample: [S49] F49: Sample, FA7, Aortic_Aneurism, 1"	"Found in Sample: [S50] F50: Sample, FA7, Aortic_Aneurism, 2"	"Found in Sample: [S65] F65: Sample, FA6, Aortic_Aneurism, 1"	"Found in Sample: [S51] F51: Sample, SCALA50-----, Healthy, 1"	"Found in Sample: [S52] F52: Sample, SCALA50-----, Healthy, 2"	"Found in Sample: [S53] F53: Sample, 245AIT, Healthy, 1"	"Found in Sample: [S54] F54: Sample, 245AIT, Healthy, 2"	"Found in Sample: [S55] F55: Sample, 284AIT, Healthy, 1"	"Found in Sample: [S56] F56: Sample, 284AIT, Healthy, 2"	"Found in Sample: [S57] F57: Sample, 230AIT, Healthy, 1"	"Found in Sample: [S58] F58: Sample, 230AIT, Healthy, 2"	"Found in Sample: [S59] F59: Sample, 161FCP/FA, Healthy, 1"	"Found in Sample: [S60] F60: Sample, 161FCP/FA, Healthy, 2"	"Found in Sample: [S61] F61: Sample, 279TCFA/HR, Healthy, 1"	"Found in Sample: [S62] F62: Sample, 279TCFA/HR, Healthy, 2"	"Found in Sample: [S63] F63: Sample, 282HR, Healthy, 1"	"Found in Sample: [S64] F64: Sample, 282HR, Healthy, 2"	"# Protein Groups"	"Modifications"
"-7155113845635909290"	"True"	"High"	"IsMasterProtein"	"P61601"	"Neurocalcin-delta"	"0.000"	"76.801"	"33"	"6"	"402"	"3"	"193"	"22.2"	"5.35"	"39366.52"	"411.33"	"6"	"6"	"transport;signal transduction;other biological processes"	"other membranes;cytosol;ER/Golgi"	"cytoskeletal activity;other molecular function"	"Pf00036, Pf13499"	"83988"	"ENSG00000104490"	"NCALD"	"hsa:83988; P29554; P61601; Q8IYC3; Q9H0W2"	""	"Activation of Ca-permeable Kainate Receptor"	"1"	"0"	"0.207"	"0.204273008681346"	"99.66"	"21.9"	"178.1"	"74.22"	"67.35"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"1"	""
"-4306142825200876867"	"True"	"High"	"IsMasterProtein"	"P11766"	"Alcohol dehydrogenase class-3"	"0.000"	"68.383"	"22"	"8"	"184"	"8"	"374"	"39.7"	"7.49"	"20049.79"	"195.84"	"7"	"8"	"other metabolic processes;stress response;other biological processes"	"cytosol;mitochondrion"	"other molecular function"	"Pf00107, Pf08240"	"128"	"ENSG00000197894"	"ADH5"	"hsa:128; P11766; Q6FHR2"	"Folate-alcohol and cancer pathway hypotheses; Amino acid metabolism"	"Ethanol oxidation"	"3"	"0"	"0.207"	"0.204247365712728"	"99.04"	"17.1"	"182.9"	"126.65"	"39.29"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3817302244584083826"	"True"	"High"	"IsMasterProtein"	"P29972"	"Aquaporin-1"	"0.000"	"67.339"	"25"	"4"	"151"	"4"	"269"	"28.5"	"7.42"	"21616.47"	"268.86"	"3"	"4"	"cell-cell signaling;cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;nucleus;other cell component"	"signal transduction activity or receptor binding;transporter activity;other molecular function"	"Pf00230"	"358"	"ENSG00000240583"	"AQP1"	"B5BU39; E7EM69; E9PC21; F5GY19; hsa:358; P29972; Q8TBI5; Q8TDC1"	"Spinal cord injury; Proximal tubule transport"	"Vasopressin regulates renal water homeostasis via Aquaporins; Passive transport by Aquaporins; Erythrocytes take up carbon dioxide and release oxygen; Erythrocytes take up oxygen and release carbon dioxide"	"6"	"0"	"0.136"	"0.033923389215084"	"112.57"	"13.8"	"186.2"	"141.15"	"78.09"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Not Found"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-7637920719542436277"	"True"	"High"	"IsMasterProtein"	"P0DJI9"	"Serum amyloid A-2 protein"	"0.000"	"66.827"	"30"	"3"	"324"	"1"	"122"	"13.5"	"9.14"	"41056.34"	"418.68"	"3"	"3"	"stress response"	"non-structural extracellular"	""	"Pf00277"	"6289"	"ENSG00000134339"	"SAA2"	"G3XAK9; hsa:6289; P02735; P02736; P02737; P0DJI9; Q16730; Q16834; Q16835; Q16879; Q3KRB3; Q6FG67; Q96QN0; Q9UCK9; Q9UCL0"	"Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Network map of SARS-CoV-2 signaling"	""	"4"	"2"	"0.033"	"8.2219094537848E-07"	"115.85"	"6.5"	"193.5"	"210.50"	"83.69"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Peak Found"	"Not Found"	"1"	""
"5022575274388480768"	"True"	"High"	"IsMasterProtein"	"P28161"	"Glutathione S-transferase Mu 2"	"0.000"	"60.961"	"35"	"7"	"160"	"4"	"218"	"25.7"	"6.37"	"21063.88"	"238.66"	"7"	"7"	"other metabolic processes;stress response;signal transduction;other biological processes"	"cytosol;ER/Golgi;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00043, Pf02798"	"2946"	"ENSG00000213366"	"GSTM2"	"B4DRY4; E9PEM9; hsa:2946; P28161; Q2M318; Q5TZY5; Q8WWE1"	"Glutathione metabolism; Nuclear receptors meta-pathway; NRF2 pathway; FOXA2 pathway; Metapathway biotransformation Phase I and II"	"Glutathione conjugation"	"6"	"4"	"0.238"	"0.312579512036863"	"64.16"	"18.5"	"181.5"	"74.25"	"25.42"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3024455931501967799"	"True"	"High"	"IsMasterProtein"	"Q8IVN3"	"Musculoskeletal embryonic nuclear protein 1"	"0.000"	"54.662"	"54"	"5"	"49"	"5"	"82"	"8.9"	"9.86"	"6219.23"	"65.52"	"4"	"4"	"cell cycle OR cell proliferation;developmental processes;other biological processes"	"non-structural extracellular;nucleus;other cell component"	""	"Pf15682"	"389125"	"ENSG00000272573"	"MUSTN1"	"hsa:389125; Q8IVN3"	""	""	"0"	"0"	"0.227"	"0.271963199849024"	"115.81"	"9.7"	"190.3"	"137.37"	"118.60"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]; Acetyl [N-Term]"
"7800791673536884834"	"True"	"High"	"IsMasterProtein"	"P05067"	"Amyloid-beta precursor protein"	"0.000"	"49.826"	"10"	"8"	"31"	"8"	"770"	"86.9"	"4.82"	"3297.07"	"37.00"	"8"	"7"	"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;nucleic acid binding activity;other molecular function"	"Pf00014, Pf02177, Pf03494, Pf10515, Pf12924, Pf12925"	"351"	"ENSG00000142192"	"APP"	"B2R5V1; B4DII8; D3DSD1; D3DSD2; D3DSD3; hsa:351; P05067; P09000; P78438; Q13764; Q13778; Q13793; Q16011; Q16014; Q16019; Q16020; Q6GSC0; Q8WZ99; Q9BT38; Q9UC33; Q9UCA9; Q9UCB6; Q9UCC8; Q9UCD1; Q9UQ58"	"Alzheimer's disease and miRNA effects; Endoderm differentiation; Apoptosis-related network due to altered Notch3 in ovarian cancer; Copper homeostasis; TGF-beta signaling pathway; Fragile X syndrome; Inclusion body myositis; Alzheimer's disease; GDNF signaling; DYRK1A involvement regarding cell proliferation in brain development; Neurogenesis regulation in the olfactory epithelium; 15q11q13 copy number variation"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Amyloid fiber formation; G alpha (q) signalling events; G alpha (i) signalling events; ECM proteoglycans; Lysosome Vesicle Biogenesis; Platelet degranulation ; Insertion of tail-anchored proteins into the endoplasmic reticulum membrane; TAK1-dependent IKK and NF-kappa-B activation  ; TRAF6 mediated NF-kB activation; The NLRP3 inflammasome; Purinergic signaling in leishmaniasis infection; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; Formyl peptide receptors bind formyl peptides and many other ligands; Advanced glycosylation endproduct receptor signaling"	"28"	"0"	"4.047"	"0.126029195912116"	"132.56"	"190.0"	"10.0"	"91.47"	"136.64"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"-7309351128836490355"	"True"	"High"	"IsMasterProtein"	"P26583"	"High mobility group protein B2"	"0.000"	"47.773"	"17"	"4"	"133"	"4"	"209"	"24.0"	"7.81"	"15358.04"	"187.70"	"4"	"4"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes"	"non-structural extracellular;nucleus;other cell component"	"signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function"	"Pf00505, Pf09011"	"3148"	"ENSG00000164104"	"HMGB2"	"B2R4K8; D3DP37; hsa:3148; P26583; Q5U072"	"Retinoblastoma gene in cancer; Ectoderm differentiation; Ectoderm differentiation"	"Apoptosis induced DNA fragmentation"	"4"	"0"	"4.376"	"0.0906515179843407"	"115.39"	"171.7"	"28.3"	"96.32"	"103.57"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"1"	""
"-2154176655508352970"	"True"	"High"	"IsMasterProtein"	"Q13642"	"Four and a half LIM domains protein 1"	"0.000"	"47.510"	"14"	"4"	"48"	"4"	"323"	"36.2"	"8.97"	"7984.03"	"79.33"	"4"	"4"	"other biological processes"	"plasma membrane;other membranes;cytosol;nucleus;other cell component"	"other molecular function"	"Pf00412, Pf25076"	"2273"	"ENSG00000022267"	"FHL1"	"B7Z5T4; B7Z793; hsa:2273; O95212; Q13230; Q13642; Q13645; Q5JXI7; Q5M7Y6; Q6IB30; Q9NZ40; Q9UKZ8; Q9Y630"	"Notch signaling"	""	"1"	"0"	"0.241"	"0.324881154048703"	"109.81"	"14.1"	"185.9"	"145.20"	"71.48"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"1"	""
"-7138782151352520984"	"True"	"High"	"IsMasterProtein"	"Q9NVM1"	"Protein eva-1 homolog B"	"0.000"	"45.601"	"35"	"2"	"9"	"2"	"165"	"18.4"	"4.73"	""	"51.65"	""	"2"	""	"other membranes"	""	"Pf14851"	"55194"	"ENSG00000142694"	"EVA1B"	"D3DPS7; hsa:55194; Q9NVM1"	""	""	"0"	"0"	"0.207"	"0.204247365712728"	"60.69"	"29.1"	"170.9"	"73.54"	"51.66"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"-5258302069466510735"	"True"	"High"	"IsMasterProtein"	"P56279"	"T-cell leukemia/lymphoma protein 1A"	"0.000"	"44.412"	"52"	"6"	"44"	"6"	"114"	"13.5"	"5.11"	"4426.69"	"52.16"	"5"	"5"	"signal transduction"	"cytosol;ER/Golgi;nucleus"	"enzyme regulator activity;other molecular function"	"Pf01840"	"8115"	"ENSG00000100721"	"TCL1A"	"hsa:8115; P56279; Q6IBK7"	"miR-targeted genes in lymphocytes; Focal adhesion: PI3K-Akt-mTOR-signaling; PI3K-Akt signaling"	""	"3"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"140.91"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	"Acetyl [N-Term]; Met-loss+Acetyl [N-Term]"
"-1978195463980950504"	"True"	"High"	"IsMasterProtein"	"Q96RW7"	"Hemicentin-1"	"0.000"	"43.496"	"1"	"4"	"12"	"4"	"5635"	"613.0"	"6.49"	"1661.00"	"18.21"	"4"	"4"	"cell adhesion;cell organization and biogenesis;other biological processes"	"extracellular matrix;plasma membrane;other membranes;other cell component"	"other molecular function"	"Pf00090, Pf07474, Pf07645, Pf07679, Pf12662, Pf13927, Pf23560, Pf25106"	"83872"	"ENSG00000143341"	"HMCN1"	"A6NGE3; hsa:83872; Q5TYR7; Q96DN3; Q96DN8; Q96RW7; Q96SC3"	""	""	"0"	"0"	"0.116"	"0.0011786118412413"	"80.27"	"53.4"	"146.6"	"76.60"	"130.21"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"8206347650273111002"	"True"	"High"	"IsMasterProtein"	"Q9H7C9"	"Mth938 domain-containing protein"	"0.000"	"42.713"	"36"	"4"	"118"	"4"	"122"	"13.3"	"8.46"	"13726.20"	"151.43"	"4"	"4"	"other biological processes"	"other cell component"	""	"Pf04430"	"28971"	"ENSG00000087884"	"AAMDC"	"hsa:28971; Q96AQ4; Q9H7C9; Q9Y6B1"	""	""	"0"	"0"	"0.239"	"0.317320278846187"	"62.99"	"23.0"	"177.0"	"77.43"	"27.76"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
